id	joke
1	I'm tired of following my dreams. I'm just going to ask them where they are going and meet up with them later.
2	Did you hear about the guy whose whole left side was cut off? He's all right now.
3	Why didn’t the skeleton cross the road? Because he had no guts.
4	What did one nut say as he chased another nut?  I'm a cashew!
5	Where do fish keep their money? In the riverbank
6	I accidentally took my cats meds last night. Don’t ask meow.
7	Chances are if you' ve seen one shopping center, you've seen a mall.
8	Dermatologists are always in a hurry. They spend all day making rash decisions. 
9	I knew I shouldn't steal a mixer from work, but it was a whisk I was willing to take.
10	I won an argument with a weather forecaster once. His logic was cloudy...
11	How come the stadium got hot after the game? Because all of the fans left.
12	"""Why do seagulls fly over the ocean?"" ""Because if they flew over the bay, we'd call them bagels."""
13	Why was it called the dark ages? Because of all the knights. 
14	A steak pun is a rare medium well done.
15	Why did the tomato blush? Because it saw the salad dressing.
16	Did you hear the joke about the wandering nun? She was a roman catholic.
17	What creature is smarter than a talking parrot? A spelling bee.
18	I'll tell you what often gets over looked... garden fences.
19	Why did the kid cross the playground? To get to the other slide.
20	Why do birds fly south for the winter? Because it's too far to walk.
21	I'm tired of following my dreams. I'm just going to ask them where they are going and meet up with them later.
22	Did you hear about the guy whose whole left side was cut off? He's all right now.
23	Why didn’t the skeleton cross the road? Because he had no guts.
24	What did one nut say as he chased another nut?  I'm a cashew!
25	Where do fish keep their money? In the riverbank
26	I accidentally took my cats meds last night. Don’t ask meow.
27	Chances are if you' ve seen one shopping center, you've seen a mall.
28	Dermatologists are always in a hurry. They spend all day making rash decisions. 
29	I knew I shouldn't steal a mixer from work, but it was a whisk I was willing to take.
30	I won an argument with a weather forecaster once. His logic was cloudy...
31	How come the stadium got hot after the game? Because all of the fans left.
32	"""Why do seagulls fly over the ocean?"" ""Because if they flew over the bay, we'd call them bagels."""
33	Why was it called the dark ages? Because of all the knights. 
34	A steak pun is a rare medium well done.
35	Why did the tomato blush? Because it saw the salad dressing.
36	Did you hear the joke about the wandering nun? She was a roman catholic.
37	What creature is smarter than a talking parrot? A spelling bee.
38	I'll tell you what often gets over looked... garden fences.
39	Why did the kid cross the playground? To get to the other slide.
40	Why do birds fly south for the winter? Because it's too far to walk.
41	What is a centipedes's favorite Beatle song?  I want to hold your hand, hand, hand, hand...
42	My first time using an elevator was an uplifting experience. The second time let me down.
43	To be Frank, I'd have to change my name.
44	Slept like a log last night … woke up in the fireplace.
